               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.031278,           0.0069828,                   0,             0.90431,             0.83163,             0.87013,             0.45982,            0.033461,           0.0044722,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.029928,           0.0070726,                   0,               0.864,               0.864,             0.87644,             0.49455,            0.032137,           0.0043554,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.033496,           0.0071984,                   0,             0.93743,                0.84,             0.88297,             0.50052,            0.032737,           0.0045497,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.032168,           0.0068711,                   0,             0.87299,                0.88,             0.86944,             0.48293,            0.032968,           0.0045655,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.030106,           0.0063073,                   0,             0.89166,             0.85595,             0.87268,              0.4625,            0.034184,           0.0044331,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.029643,           0.0067356,                   0,             0.93693,             0.83187,             0.87968,             0.49752,            0.031876,           0.0044131,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.028642,           0.0067586,                   0,             0.87802,             0.86379,             0.86234,             0.48653,            0.033178,            0.004519,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.029334,           0.0067164,                   0,             0.88326,               0.848,             0.86492,             0.50705,              0.0322,           0.0045585,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.028566,           0.0064127,                   0,             0.95367,               0.824,             0.88566,             0.52805,             0.03217,           0.0042599,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.030424,           0.0065432,                   0,             0.86063,             0.83984,             0.85226,             0.49189,             0.03241,           0.0045173,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.030204,           0.0063161,                   0,             0.91452,             0.85593,             0.88583,             0.51472,            0.032281,           0.0043262,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.028928,           0.0066223,                   0,             0.89819,               0.848,             0.86715,             0.49772,            0.032706,           0.0043064,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028605,           0.0064908,                   0,             0.92771,               0.824,             0.89204,             0.50563,            0.032156,           0.0043749,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.028632,           0.0067463,                   0,             0.96243,               0.824,             0.88057,             0.50234,            0.032102,           0.0045406,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.030445,           0.0066579,                   0,             0.93681,             0.83024,             0.87118,             0.49339,            0.032651,            0.004626,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.029013,           0.0062486,                   0,             0.88684,               0.816,             0.86605,              0.4627,            0.035685,           0.0045127,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.029665,           0.0062829,                   0,              0.9152,               0.864,             0.89817,             0.49566,            0.033388,           0.0043217,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.027739,           0.0063933,                   0,             0.95282,             0.80781,             0.88005,              0.5155,            0.032921,           0.0044025,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.03027,           0.0065111,                   0,             0.89967,               0.864,             0.88866,             0.51331,            0.033685,           0.0044402,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.028109,           0.0062253,                   0,             0.90596,             0.84773,             0.87991,               0.522,            0.032123,           0.0043851,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.027324,           0.0067168,                   0,             0.95326,             0.81586,             0.89244,             0.50547,            0.033265,           0.0044136,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.027528,           0.0061394,                   0,             0.94389,               0.808,             0.88228,             0.50585,            0.032054,           0.0045035,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.029153,           0.0067076,                   0,             0.93433,                 0.8,             0.88173,             0.50815,            0.032028,           0.0045101,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.028842,           0.0062858,                   0,             0.92965,               0.848,             0.89202,              0.5016,            0.033266,            0.004375,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.027253,           0.0060385,                   0,             0.89408,                0.88,             0.90287,             0.51652,             0.03197,           0.0042968,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.027416,           0.0063556,                   0,             0.89429,             0.87985,             0.89744,              0.5069,            0.032121,           0.0044046,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.027552,           0.0061314,                   0,             0.89338,             0.87139,             0.89818,             0.50854,            0.032239,           0.0044266,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.026816,           0.0066637,                   0,             0.95528,               0.856,              0.9045,             0.53004,            0.030606,           0.0043182,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026897,           0.0059278,                   0,             0.89052,               0.848,             0.89281,             0.52366,            0.031611,           0.0042715,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.02714,           0.0059935,                   0,              0.9537,             0.82388,             0.90479,             0.53976,            0.030419,           0.0041582,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.027997,           0.0061621,                   0,              0.8943,             0.87991,             0.89581,             0.51045,            0.031963,           0.0041915,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.026286,           0.0061931,                   0,             0.90873,                0.88,              0.9025,             0.49858,            0.033102,           0.0041973,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.025872,           0.0061136,                   0,             0.95614,             0.87199,             0.91051,             0.51118,            0.033351,           0.0041814,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.027189,           0.0062839,                   0,             0.93913,               0.864,             0.90604,             0.52095,              0.0321,           0.0042434,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.027875,           0.0058156,                   0,             0.93624,               0.824,             0.88307,             0.48799,            0.032079,           0.0043693,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.026874,           0.0060838,                   0,             0.93837,               0.864,             0.89957,             0.48659,            0.031775,           0.0042528,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.026531,            0.006167,                   0,             0.92785,               0.824,             0.87832,             0.49872,            0.032712,           0.0042515,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026041,           0.0059861,                   0,             0.95403,             0.83007,             0.88468,             0.51187,            0.031474,            0.004337,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.026172,           0.0056873,                   0,             0.92981,             0.84783,             0.89085,             0.50803,            0.032929,           0.0043662,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025842,           0.0059301,                   0,             0.86885,               0.848,             0.87489,             0.49196,            0.033031,           0.0043759,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.024762,           0.0057505,                   0,             0.92776,               0.824,             0.87925,              0.4937,            0.033035,           0.0042934,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.026541,           0.0059821,                   0,             0.87802,             0.86374,             0.89599,             0.50841,            0.032766,           0.0042881,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025736,           0.0058528,                   0,             0.96292,             0.83112,             0.89987,             0.50219,            0.033062,           0.0043523,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.02632,           0.0058503,                   0,             0.90756,             0.86399,             0.89515,             0.50336,            0.032402,           0.0045152,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.025561,           0.0058631,                   0,              0.9262,               0.816,             0.88506,             0.49936,            0.032001,           0.0043438,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.024188,            0.005687,                   0,             0.92842,               0.832,              0.8974,             0.50023,            0.032701,           0.0044345,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025034,           0.0058659,                   0,             0.92845,               0.832,             0.89538,              0.5113,            0.031042,           0.0043782,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.024038,           0.0060634,                   0,             0.91449,               0.856,             0.88599,             0.51923,            0.031343,           0.0042364,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.025616,           0.0058779,                   0,             0.93725,                0.84,             0.90052,             0.54015,            0.031062,            0.004242,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.025613,           0.0059582,                   0,             0.96215,               0.816,             0.89922,             0.53221,            0.032359,           0.0042992,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.02435,           0.0059112,                   0,             0.92899,                0.84,              0.8893,             0.53735,            0.031739,           0.0042388,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.025778,           0.0058338,                   0,              0.9373,                0.84,             0.88621,             0.52686,            0.031333,           0.0045259,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.024284,           0.0058807,                   0,             0.96294,               0.832,              0.8989,             0.53149,            0.030428,           0.0043154,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.024057,             0.00623,                   0,             0.96246,               0.824,             0.90373,             0.54002,            0.030003,           0.0043797,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.02412,           0.0055165,                   0,             0.92727,             0.81595,             0.87833,              0.5232,             0.03083,           0.0045718,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.023096,           0.0056914,                   0,             0.92171,               0.848,             0.88547,             0.52721,            0.030688,           0.0045797,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.024172,           0.0060047,                   0,             0.96262,               0.824,             0.89542,              0.5191,            0.031557,           0.0044013,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.024434,           0.0059552,                   0,             0.90596,             0.84773,              0.8793,             0.52871,            0.030837,           0.0043362,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.023308,           0.0058178,                   0,              0.9051,                0.84,             0.89345,             0.51947,            0.030988,           0.0044353,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.02421,           0.0055426,                   0,              0.9279,             0.82361,             0.88699,             0.51699,            0.030989,           0.0043543,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.023727,           0.0056101,                   0,              0.9111,               0.824,             0.87706,             0.51248,            0.031113,           0.0044488,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.023525,           0.0058869,                   0,              0.9545,                0.84,             0.89594,             0.52889,            0.030985,           0.0042934,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.024038,           0.0060354,                   0,             0.90673,             0.85553,             0.88829,             0.53909,            0.030567,           0.0044279,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.023363,           0.0052875,                   0,             0.94259,               0.792,             0.88797,             0.50878,            0.031841,           0.0045667,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.023907,           0.0053403,                   0,             0.88889,             0.83199,             0.88416,             0.51246,            0.031856,           0.0047325,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.023079,           0.0056738,                   0,             0.89341,              0.8717,              0.8943,             0.52734,            0.031009,           0.0046163,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.02425,           0.0057747,                   0,             0.90492,                0.84,             0.89412,             0.50899,            0.031984,           0.0046715,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.023276,           0.0058588,                   0,             0.93445,                 0.8,             0.89134,              0.5097,            0.031723,           0.0046602,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.022808,           0.0057677,                   0,             0.90598,             0.84792,              0.8809,             0.51716,             0.03196,            0.004588,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.022571,           0.0053779,                   0,              0.9292,                0.84,             0.89166,             0.52693,            0.031221,           0.0044277,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.023811,           0.0056754,                   0,             0.93859,             0.85595,             0.90532,             0.53639,            0.030123,           0.0043719,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.02204,           0.0053999,                   0,             0.92982,             0.84796,             0.90116,             0.50572,            0.031029,           0.0043451,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.022826,           0.0053985,                   0,             0.93805,             0.84799,             0.90111,              0.5188,            0.030001,           0.0042806,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.02243,           0.0053903,                   0,             0.91523,             0.86371,             0.90164,             0.53051,            0.030025,           0.0041498,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.021998,           0.0053051,                   0,             0.94512,               0.832,             0.90719,             0.53442,            0.030014,           0.0042675,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.022141,           0.0055612,                   0,             0.96262,             0.82399,             0.89703,             0.52035,            0.030624,           0.0043062,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.02259,           0.0055408,                   0,             0.96224,               0.816,             0.89812,             0.53778,            0.030025,           0.0041755,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.022516,           0.0052778,                   0,              0.9519,             0.79164,             0.88343,             0.52657,            0.030992,           0.0042777,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.022561,           0.0053045,                   0,             0.90985,               0.808,             0.88437,             0.52582,            0.030588,           0.0043616,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.021141,           0.0053016,                   0,             0.91962,             0.82378,             0.89242,             0.54041,            0.030785,           0.0043187,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.020774,            0.005322,                   0,               0.879,               0.872,             0.89373,              0.5368,            0.030501,           0.0042609,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.021567,           0.0055675,                   0,             0.94495,               0.824,             0.89266,             0.53679,            0.031095,           0.0042742,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.022615,           0.0055247,                   0,             0.94545,             0.83189,             0.90084,             0.53751,             0.03067,           0.0042842,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.020813,           0.0054759,                   0,             0.96261,             0.82392,             0.91042,             0.54259,            0.030669,            0.004284,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.020881,           0.0053603,                   0,             0.95454,             0.83985,             0.89438,             0.53518,            0.030723,           0.0043602,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.021373,           0.0051596,                   0,             0.95454,             0.83995,             0.90434,             0.53025,             0.03123,           0.0043545,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.02203,           0.0052451,                   0,             0.97241,               0.848,              0.9029,             0.53665,            0.030483,           0.0043203,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.021597,           0.0052632,                   0,             0.92423,                0.88,             0.90254,             0.53314,            0.031235,           0.0042815,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.022299,            0.005498,                   0,             0.93102,             0.86382,             0.90726,             0.53183,            0.030961,           0.0042773,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.022346,           0.0052781,                   0,             0.92241,             0.85592,              0.9021,             0.52361,            0.030957,           0.0042685,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.020872,           0.0053117,                   0,             0.97194,             0.83122,             0.90688,             0.54356,            0.030399,           0.0041843,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.020438,           0.0051014,                   0,             0.92157,               0.848,             0.88712,             0.53729,             0.03097,           0.0042691,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020883,           0.0049313,                   0,              0.9804,               0.808,             0.88985,             0.52811,            0.030933,           0.0044569,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.020877,           0.0051261,                   0,             0.92919,             0.83989,             0.89014,             0.53353,            0.030636,            0.004486,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.021713,           0.0051638,                   0,             0.95368,             0.82358,             0.89742,              0.5427,            0.030343,           0.0045274,                   0,            0.005677,            0.005677,            0.005677
                 133,             0.02015,            0.005246,                   0,             0.95413,             0.83196,             0.89462,             0.54781,             0.02977,           0.0044804,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.020392,           0.0052588,                   0,             0.95237,             0.79983,             0.87247,             0.55846,            0.030023,            0.004511,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.020665,           0.0054666,                   0,             0.96183,               0.808,             0.88037,             0.53088,            0.029917,           0.0045516,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.020149,           0.0050664,                   0,              0.9537,             0.82395,             0.88764,             0.52007,            0.030146,           0.0044356,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.020007,           0.0052904,                   0,             0.97951,               0.792,             0.89934,              0.5289,            0.030373,           0.0043579,                   0,            0.005512,            0.005512,            0.005512
                 138,             0.02173,           0.0048297,                   0,             0.97169,             0.82362,             0.90814,             0.52386,             0.03025,            0.004341,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.020113,           0.0053677,                   0,             0.92977,               0.848,              0.9068,             0.54127,            0.029629,           0.0042758,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.019875,           0.0050938,                   0,             0.92857,             0.83199,             0.89393,              0.5441,            0.029346,            0.004363,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.020224,           0.0051804,                   0,             0.91211,               0.832,             0.90001,              0.5373,             0.02968,           0.0043436,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.019141,           0.0051722,                   0,             0.93593,               0.824,             0.91653,             0.54888,            0.029129,           0.0042704,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.020879,           0.0047831,                   0,             0.97142,             0.81571,             0.91805,             0.56214,            0.028395,           0.0042939,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.020046,           0.0052625,                   0,              0.9229,               0.864,               0.905,             0.53916,            0.029778,           0.0043885,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.019586,           0.0049094,                   0,             0.98027,               0.808,             0.89507,             0.53659,            0.029733,           0.0044722,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.020422,           0.0052219,                   0,              0.9216,               0.848,             0.89051,             0.54375,             0.02916,           0.0044076,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.020827,           0.0049792,                   0,             0.94277,               0.792,             0.87778,              0.5452,            0.030035,           0.0044486,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.019868,           0.0049423,                   0,             0.88427,             0.85578,             0.89863,             0.55991,            0.029238,           0.0043767,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.020728,           0.0049024,                   0,             0.96109,               0.792,             0.88582,             0.56181,             0.02879,           0.0044335,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.019994,           0.0050015,                   0,             0.93912,             0.86378,             0.90966,             0.55729,            0.028508,           0.0042906,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.019463,           0.0048956,                   0,             0.94488,               0.824,             0.90926,             0.55941,            0.028497,           0.0043894,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.018957,           0.0050093,                   0,             0.90677,             0.85592,             0.90193,             0.55245,            0.028842,           0.0043381,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.019345,           0.0049079,                   0,             0.89906,               0.856,             0.89037,             0.53969,            0.029328,           0.0044205,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.019291,            0.004882,                   0,             0.91299,                0.84,             0.90319,             0.55304,            0.028805,           0.0043773,                   0,            0.004951,            0.004951,            0.004951
